region,subvillage,construction_year,key
Arusha,Afya,1995.1,AfyaArusha
Arusha,Ahara,2010.0,AharaArusha
Arusha,Alairataat,1991.6666666666667,AlairataatArusha
Arusha,Alakirikir,2010.8,AlakirikirArusha
Arusha,Alasai,2000.0,AlasaiArusha
Arusha,Aleilelai,2003.0,AleilelaiArusha
Arusha,Alsini,2009.0,AlsiniArusha
Arusha,Ambara,1993.0,AmbaraArusha
Arusha,Ambureni,2009.9,AmbureniArusha
Arusha,Arahati,1994.0,ArahatiArusha
Arusha,Arashi,1999.6666666666667,ArashiArusha
Arusha,Arati,1994.0,AratiArusha
Arusha,Arauyo,2006.8076923076924,ArauyoArusha
Arusha,Ariahati,1994.0,AriahatiArusha
Arusha,Arkaria,2001.6666666666667,ArkariaArusha
Arusha,Arudeko,2009.909090909091,ArudekoArusha
Arusha,Ascarida,2005.0,AscaridaArusha
Arusha,Athin Kati,1998.0,Athin KatiArusha
Arusha,Athni Mwisho,1998.0,Athni MwishoArusha
Arusha,Atsin,2009.0,AtsinArusha
Arusha,Atsini,2009.0,AtsiniArusha
Arusha,Ayarati,1994.0,AyaratiArusha
Arusha,Bagayu,1994.0,BagayuArusha
Arusha,Baqari,1998.0,BaqariArusha
Arusha,Barae,1994.0,BaraeArusha
Arusha,Barai,2009.0,BaraiArusha
Arusha,Baraka,2002.5,BarakaArusha
Arusha,Barazani,2005.3333333333333,BarazaniArusha
Arusha,Bare A,1994.0,Bare AArusha
Arusha,Barray,2006.0,BarrayArusha
Arusha,Bodaboda,2000.0,BodabodaArusha
Arusha,Bomba,2000.0,BombaArusha
Arusha,Bonde La Faru,2009.0,Bonde La FaruArusha
Arusha,Bondeni,1994.7857142857142,BondeniArusha
Arusha,Bugharga,1998.0,BughargaArusha
Arusha,Buguruni,2003.7333333333333,BuguruniArusha
Arusha,Bukarga,1998.0,BukargaArusha
Arusha,Bulati,2011.3333333333333,BulatiArusha
Arusha,Buluga,1991.0,BulugaArusha
Arusha,Burka,2000.0,BurkaArusha
Arusha,Bwawani,2002.2333333333333,BwawaniArusha
Arusha,Center,1998.0,CenterArusha
Arusha,Chemchem,2004.2,ChemchemArusha
Arusha,Chini,1974.0,ChiniArusha
Arusha,Christmas,1963.0,ChristmasArusha
Arusha,Creta,1994.0,CretaArusha
Arusha,D/Magaribi,1994.0,D/MagaribiArusha
Arusha,D/Magharibi,1994.0,D/MagharibiArusha
Arusha,D/Mashariki,1995.875,D/MasharikiArusha
Arusha,Daire,1974.0,DaireArusha
Arusha,Damu,1989.0,DamuArusha
Arusha,Daraja2,2000.0,Daraja2Arusha
Arusha,Darajani,2000.8,DarajaniArusha
Arusha,Digodigo Mjini,2003.5714285714287,Digodigo MjiniArusha
Arusha,Dipu,2007.75,DipuArusha
Arusha,Dofa,2003.4285714285713,DofaArusha
Arusha,Duka Bovu,1994.0,Duka BovuArusha
Arusha,Dukambili,1990.0,DukambiliArusha
Arusha,Dum,2001.5,DumArusha
Arusha,Elerai,2006.6666666666667,EleraiArusha
Arusha,Elwahi,2000.0,ElwahiArusha
Arusha,Elwan,2000.0,ElwanArusha
Arusha,Elwayn,2000.0,ElwaynArusha
Arusha,Emanyata,1992.5,EmanyataArusha
Arusha,Emarti,2011.0,EmartiArusha
Arusha,Embalwa,1985.6666666666667,EmbalwaArusha
Arusha,Embaruway,1999.0,EmbaruwayArusha
Arusha,Embong'Iti,2008.0,Embong'ItiArusha
Arusha,Embopong'I,2007.0,Embopong'IArusha
Arusha,Emogoro,2000.0,EmogoroArusha
Arusha,Emugurunanyoki,2005.0,EmugurunanyokiArusha
Arusha,Emurua,2000.0,EmuruaArusha
Arusha,Emututoto,2009.0,EmututotoArusha
Arusha,Enaboishu,1998.0,EnaboishuArusha
Arusha,Endalah,1999.6666666666667,EndalahArusha
Arusha,Endallah,2005.3333333333333,EndallahArusha
Arusha,Endamarariek,1994.0,EndamarariekArusha
Arusha,Endeves,2000.0,EndevesArusha
Arusha,Endonyowas,2011.0,EndonyowasArusha
Arusha,Engarasero,2008.5,EngaraseroArusha
Arusha,Engaresero,2012.0,EngareseroArusha
Arusha,Engasiti,2000.0,EngasitiArusha
Arusha,Engawale,1970.0,EngawaleArusha
Arusha,Engedeko,2000.0,EngedekoArusha
Arusha,Engerin,2007.0,EngerinArusha
Arusha,Engigiri,2000.0,EngigiriArusha
Arusha,Engikaleti,2007.2083333333333,EngikaletiArusha
Arusha,Engololoi,1989.0,EngololoiArusha
Arusha,Engomei,1990.0,EngomeiArusha
Arusha,Engorika,1982.0,EngorikaArusha
Arusha,Engorora Kati,2004.5,Engorora KatiArusha
Arusha,Enguruman,2006.0,EngurumanArusha
Arusha,Engusero,1978.0,EnguseroArusha
Arusha,Enguserosambu,2011.0,EnguserosambuArusha
Arusha,Engutoto,1974.0,EngutotoArusha
Arusha,Engutukoit,1981.8333333333333,EngutukoitArusha
Arusha,Engutukuorugos,1978.0,EngutukuorugosArusha
Arusha,Enjolo Ondare,2004.0,Enjolo OndareArusha
Arusha,Erangau,2011.0,ErangauArusha
Arusha,Esmiti,2000.0,EsmitiArusha
Arusha,Eunoto,1990.0,EunotoArusha
Arusha,Ewerendeke,2012.0,EwerendekeArusha
Arusha,Eworendeke,2005.1666666666667,EworendekeArusha
Arusha,Fetinalii,1998.4,FetinaliiArusha
Arusha,Fithal,2009.0,FithalArusha
Arusha,Geer,2007.0,GeerArusha
Arusha,Gehandu,2004.0,GehanduArusha
Arusha,Genda,2008.0,GendaArusha
Arusha,Geriani,2000.5,GerianiArusha
Arusha,Gidabash,2005.0,GidabashArusha
Arusha,Gidaburjek,1998.0,GidaburjekArusha
Arusha,Gidbash,1998.0,GidbashArusha
Arusha,Gidibashi,1998.0,GidibashiArusha
Arusha,Gitmaja,2002.0,GitmajaArusha
Arusha,Gwandumehi,2002.0,GwandumehiArusha
Arusha,Gwandumei,2002.0,GwandumeiArusha
Arusha,Gwasei,2007.0,GwaseiArusha
Arusha,Halei,2002.0,HaleiArusha
Arusha,Halet,2002.0,HaletArusha
Arusha,Hambar,1993.0,HambarArusha
Arusha,Hansi,2009.0,HansiArusha
Arusha,Haria B,1998.0,Haria BArusha
Arusha,Hathins,2009.0,HathinsArusha
Arusha,Hhaki,2009.0,HhakiArusha
Arusha,Hhalki,2009.0,HhalkiArusha
Arusha,Hharki,2009.0,HharkiArusha
Arusha,Hospital,1998.4,HospitalArusha
Arusha,Huduma,1999.05,HudumaArusha
Arusha,Hyhh,1990.0,HyhhArusha
Arusha,Idulele,1990.0,IduleleArusha
Arusha,Ieletulele,1998.0,IeletuleleArusha
Arusha,Ifuriny,1981.6666666666667,IfurinyArusha
Arusha,Ikenywa,1995.0,IkenywaArusha
Arusha,Ikreepus,2011.0,IkreepusArusha
Arusha,Ilboru,1999.0,IlboruArusha
Arusha,Ilchang'Itsapu,1977.0,Ilchang'ItsapuArusha
Arusha,Ildoinyio,2004.1666666666667,IldoinyioArusha
Arusha,Ileza,1998.0,IlezaArusha
Arusha,Ilimadu,1998.0,IlimaduArusha
Arusha,Ilimelili,1998.0,IlimeliliArusha
Arusha,Ilimitongo,1999.0,IlimitongoArusha
Arusha,Ilimuri,2005.0,IlimuriArusha
Arusha,Ilkiroriti,2005.0,IlkiroritiArusha
Arusha,Ilkirumuni,2009.0,IlkirumuniArusha
Arusha,Ilkisongo Chini,1998.0,Ilkisongo ChiniArusha
Arusha,Ilkisongo Juu,1998.0,Ilkisongo JuuArusha
Arusha,Imbibia Kati,1994.5,Imbibia KatiArusha
Arusha,Imbopong,1980.0,ImbopongArusha
Arusha,Imisigiyo,2003.0,ImisigiyoArusha
Arusha,Imurutot,1999.3333333333333,ImurutotArusha
Arusha,Indiani,2011.0,IndianiArusha
Arusha,Ing'Oswani,2005.0,Ing'OswaniArusha
Arusha,Ingerin,2007.0,IngerinArusha
Arusha,Inginye,1992.25,InginyeArusha
Arusha,Ingolienito,1970.0,IngolienitoArusha
Arusha,Ingutot,1989.3333333333333,IngutotArusha
Arusha,Ingutoti,2010.0,IngutotiArusha
Arusha,Ingutoto,2005.0,IngutotoArusha
Arusha,Insi,2002.0,InsiArusha
Arusha,Inyuata,2010.0,InyuataArusha
Arusha,Irkeepus,1997.0,IrkeepusArusha
Arusha,Iting'Are,1978.0,Iting'AreArusha
Arusha,Iyani,2007.888888888889,IyaniArusha
Arusha,Jamhuri,2000.0,JamhuriArusha
Arusha,Jamusi,2008.0,JamusiArusha
Arusha,Jamusi Ng'Ambo,2008.0,Jamusi Ng'AmboArusha
Arusha,Jangwale,2002.0,JangwaleArusha
Arusha,Jangwani,2003.3333333333333,JangwaniArusha
Arusha,Jema,2007.0,JemaArusha
Arusha,Jengemwanama,2010.0,JengemwanamaArusha
Arusha,Josho,2012.0,JoshoArusha
Arusha,Juhudi,1994.0,JuhudiArusha
Arusha,Juu,2002.4545454545455,JuuArusha
Arusha,K/Center,2006.1176470588234,K/CenterArusha
Arusha,Kaepu,2005.0,KaepuArusha
Arusha,Kaibuku,1994.5,KaibukuArusha
Arusha,Kainam,1997.4285714285713,KainamArusha
Arusha,Kalalanic,2013.0,KalalanicArusha
Arusha,Kalimaji,2000.0,KalimajiArusha
Arusha,Kalimaji Kati,2000.0,Kalimaji KatiArusha
Arusha,Kaloleni Mashariki,2000.0,Kaloleni MasharikiArusha
Arusha,Kaloleni Mita 200,2000.0,Kaloleni Mita 200Arusha
Arusha,Kambarage,2000.0,KambarageArusha
Arusha,Kambi Ya Fisi,2000.0,Kambi Ya FisiArusha
Arusha,Kambi Ya Mkaa,2004.2,Kambi Ya MkaaArusha
Arusha,Kambi Ya Simba,2006.0,Kambi Ya SimbaArusha
Arusha,Kambi Ya Tanga Juu,1974.0,Kambi Ya Tanga JuuArusha
Arusha,Kambiya Simba,2006.0,Kambiya SimbaArusha
Arusha,Kandaskilieti,1988.1818181818182,KandaskilietiArusha
Arusha,Kanisani,1993.6923076923076,KanisaniArusha
Arusha,Karafia,2007.75,KarafiaArusha
Arusha,Karafiya,2007.0,KarafiyaArusha
Arusha,Karatini,1998.0,KaratiniArusha
Arusha,Karimaji,2000.0,KarimajiArusha
Arusha,Kaskazini,1999.6,KaskaziniArusha
Arusha,Katani,1998.3333333333333,KataniArusha
Arusha,Kati,2001.9142857142858,KatiArusha
Arusha,Kaveshi,1988.2857142857142,KaveshiArusha
Arusha,Kazamoyo,1986.0,KazamoyoArusha
Arusha,Keidofa,2010.0,KeidofaArusha
Arusha,Kereshu,2011.0,KereshuArusha
Arusha,Kibaoni,1984.8,KibaoniArusha
Arusha,Kiboli,1993.3333333333333,KiboliArusha
Arusha,Kibori,2000.0,KiboriArusha
Arusha,Kigongoni,2001.5,KigongoniArusha
Arusha,Kijave,2005.0,KijaveArusha
Arusha,Kijenge,1968.0,KijengeArusha
Arusha,Kijenge Chini,2000.0,Kijenge ChiniArusha
Arusha,Kijenge Juu,2000.0,Kijenge JuuArusha
Arusha,Kijijini,2003.0,KijijiniArusha
Arusha,Kijiweni,2010.0,KijiweniArusha
Arusha,Kikwakwaru,2010.0,KikwakwaruArusha
Arusha,Kilala Nic,2013.0,Kilala NicArusha
Arusha,Kilalanic,2012.4,KilalanicArusha
Arusha,Kilima Moja,1968.0,Kilima MojaArusha
Arusha,Kilimamoto,2000.0,KilimamotoArusha
Arusha,Kilimani,2010.0,KilimaniArusha
Arusha,Kilimo,1980.0,KilimoArusha
Arusha,Kiloshi,2000.0,KiloshiArusha
Arusha,Kimandafu,1994.6,KimandafuArusha
Arusha,Kimandolu,1991.1666666666667,KimandoluArusha
Arusha,Kimeroki,2009.0,KimerokiArusha
Arusha,Kimnyak,2000.0,KimnyakArusha
Arusha,Kimoli,2003.0,KimoliArusha
Arusha,Kimosonu,2005.5454545454545,KimosonuArusha
Arusha,Kimundo,1991.0,KimundoArusha
Arusha,Kimwati,2006.0,KimwatiArusha
Arusha,Kinehe,1998.0,KineheArusha
Arusha,King'Una,1995.25,King'UnaArusha
Arusha,Kinihe,1997.0,KiniheArusha
Arusha,Kirangi,2003.0,KirangiArusha
Arusha,Kirashi,2008.0,KirashiArusha
Arusha,Kireeni,2007.2,KireeniArusha
Arusha,Kirika B,2000.0,Kirika BArusha
Arusha,Kirima,2000.0,KirimaArusha
Arusha,Kirurumo,2000.0,KirurumoArusha
Arusha,Kisambare,2007.6666666666667,KisambareArusha
Arusha,Kiseli,1983.0,KiseliArusha
Arusha,Kiselya,1995.0,KiselyaArusha
